Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
The Rise of Deepfake Medical Imaging: Radiologists' Diagnostic Accuracy in Detecting ChatGPT-generated Radiographs.	10.1148/radiol.252094
Collaborative Multiscale and Wavelet-Based Fusion Network for Leakage Area Semantic Segmentation of Ultrawide Field Fluorescein Angiography.	10.1167/tvst.15.3.22
G-ALPS: An index for evaluating cognitive decline and aging using diffusion tensor imaging.	10.1002/alz.71118
Automated calculation of background parenchymal enhancement as a biomarker of treatment responses and recurrence-free survival in breast cancer.	10.1007/s10549-026-07941-5
Negligible impact of perifissural nodules in an AI-first reader workflow from UK lung screening trial.	10.1007/s00330-026-12444-4
A preclinical CT and MRI Liver Imaging Dataset with Anatomical, Functional and Segmentation Data.	10.1038/s41597-026-07003-x
Enhancing pulmonary embolism diagnosis: a squeeze-and-attention U-Net for precise detection and segmentation in CT angiography.	10.1016/j.ejmp.2026.105785
Brain tumor detection on magnetic resonance imaging scans using the artificial intelligence-based You Only Look Once algorithm.	10.1177/03000605261422820
LM-UNet: Lightweight Mamba-UNet Prostate MRI image segmentation network.	10.1371/journal.pone.0339719
Deep learning-based identification of aberrant anterior tibial artery on knee MRI: a brazilian multicenter study.	10.1007/s00256-026-05198-z
TL-TransUNet: An Improved Lightweight Semantic Segmentation Model of Macular Edema Lesions in Retinal OCT Images.	10.1177/2167647X261429851
Imaging intravoxel vessel size distribution in the brain using susceptibility contrast enhanced MRI.	10.1162/IMAG.a.1173
Synthesizing breast cancer ultrasound images from healthy samples using latent diffusion models.	10.1117/1.JMI.13.2.024002
A Large-scale Neural Model Inversion Framework for Effective Connectivity Estimation.	10.1007/978-3-032-04937-7_1
Revisiting Amplitude of Low-Frequency Fluctuations (ALFF) in Resting-State fMRI: Clarifications and Improvements.	10.1002/hbm.70506
Effective Connectivity Identifies Divergent Cerebro-Cerebellar Network Organization in Schizophrenia.	10.1007/s12311-026-01983-7
Deep Learning Reconstruction Enables Diagnostic-Quality 0.4T Knee and Spine MRI in One-Third of the Time.	10.1002/nbm.70274
Performance of a GPU- and time-efficient pseudo-3D network for magnetic resonance image super-resolution and motion artifact reduction.	10.1038/s41598-026-43804-1
Ethmoid sinus CBCT imaging as a biometric instrument: dataset creation for deep learning identification.	10.1016/j.ejrad.2026.112796
Brain regions beyond the visual cortex are relevant to subjective time prediction from fMRI salient events in a visual naturalistic context.	10.1007/s11682-026-01128-8
StructEIT: Realistic 3D EIT model generation from CT scans for deep learning applications.	10.1088/1361-6579/ae5587
Mediation of stenosis-induced ischemia by proximal peri-coronary adipose tissue: A cross-sectional study.	10.1097/MD.0000000000048120
Exploring brain lobe-specific insights in an explainable framework for EEG-based schizophrenia detection.	10.1371/journal.pone.0334389
Task-evoked functional connectivity exhibits novel and strengthened relationships with executive function relative to the resting state.	10.1073/pnas.2516929123
MRI-based AI framework for predicting lymph node metastasis and prognosis in rectal cancer after neoadjuvant chemoradiotherapy: a multicenter study.	10.1007/s00261-026-05412-5
Artificial Intelligence-Based Prediction of Invasion Depth in Colorectal Cancer via Endoscopic Imaging (With Video): A Narrative Review.	10.1111/den.70139
Artificial Intelligence in Kidney Stone Imaging: Enhancing Classification and Detection for Improved Diagnostic Accuracy.	10.7759/cureus.103694
Artificial Intelligence in Neuro-Ophthalmology for Optic Disc Pathologies and Neurodegenerative Disease.	10.2147/EB.S555894
ZR<sup>2</sup>ViM: a recursive vision Mamba model for boundary-preserving medical image segmentation.	10.3389/fbinf.2026.1768786
Attention-enhanced segmentation network for automated cerebral microbleed detection and burden assessment.	10.3389/fnins.2026.1743039
Automatic assessment of lung involvement in systemic sclerosis using deep learning.	10.4103/jrms.jrms_994_25
Improved BG-PVS Quantification in Infant Brain MRI Using Anatomy-Informed Pseudo-Labels for Joint BG and PVS Segmentation.	10.1002/jmri.70298
Integrating imaging and genomics in prenatal Treacher Collins syndrome: evidence for practice and policy.	10.1186/s13023-025-04094-4
Multimodal models for skin cancer classification using clinical freetext and dermatoscopic images.	10.1038/s43856-026-01456-2
Enhancing automated fracture detection in paediatric wrist X-rays with paired and unpaired cast suppression methods.	10.1007/s11548-026-03595-2
TF-VSF: A Novel Training-Free Visual-Semantic Fusion Rare Medical Morning Glory Syndrome Diseases Severity Assessment Method.	10.1007/s10278-026-01884-5
Wavelet-Transformed Frequency Linked Attention with Selective Hierarchy for Abdominal Organ Segmentation.	10.1007/s10278-026-01922-2
Real-world unified denoising for multi-organ fast MRI: a large-scale prospective validation.	10.1038/s41746-026-02548-y
Generation of automated nephrometry scores through direct prediction of each component.	10.1016/j.urology.2026.02.039
MRCE-Net: A multi-role collaborative experts deep learning network for multi-modal medical image fusion.	10.1016/j.compmedimag.2026.102737
Robust 3D Pose estimation and Parkinson's Disease classification via Dual-Stage Adaptive Temporal Perception and graph topology modeling network.	10.1371/journal.pone.0344375
